run_accession	fastq_ftp
SRR2917279	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/009/SRR2917279/SRR2917279_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/009/SRR2917279/SRR2917279_2.fastq.gz
SRR2917280	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/000/SRR2917280/SRR2917280_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/000/SRR2917280/SRR2917280_2.fastq.gz
SRR2917281	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/001/SRR2917281/SRR2917281_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/001/SRR2917281/SRR2917281_2.fastq.gz
SRR2917282	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/002/SRR2917282/SRR2917282_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/002/SRR2917282/SRR2917282_2.fastq.gz
SRR2917283	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/003/SRR2917283/SRR2917283_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/003/SRR2917283/SRR2917283_2.fastq.gz
SRR2917284	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/004/SRR2917284/SRR2917284_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/004/SRR2917284/SRR2917284_2.fastq.gz
SRR2917285	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/005/SRR2917285/SRR2917285_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/005/SRR2917285/SRR2917285_2.fastq.gz
SRR2917286	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/006/SRR2917286/SRR2917286_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/006/SRR2917286/SRR2917286_2.fastq.gz
SRR2917287	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/007/SRR2917287/SRR2917287_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/007/SRR2917287/SRR2917287_2.fastq.gz
SRR2917288	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/008/SRR2917288/SRR2917288_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/008/SRR2917288/SRR2917288_2.fastq.gz
SRR2917289	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/009/SRR2917289/SRR2917289_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/009/SRR2917289/SRR2917289_2.fastq.gz
SRR2917290	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/000/SRR2917290/SRR2917290_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/000/SRR2917290/SRR2917290_2.fastq.gz
SRR2917291	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/001/SRR2917291/SRR2917291_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/001/SRR2917291/SRR2917291_2.fastq.gz
